Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months"
909,59,362,635,23,41,195685,41561,78274,16451,3576,1097
4065,103,1653,2859,52,77,603563,129561,241425,50794,11054,3386
536,137,338,437,70,103,149492,32656,59797,12602,2748,840
1273,148,551,912,70,109,539539,108077,215816,45112,9742,3007
809,125,280,545,65,95,300991,64361,120396,25321,5508,1688
3652,355,1657,2655,134,245,1210559,251604,484224,101564,22022,6771
1144,135,616,880,73,104,437572,77638,175029,36206,7720,2414
2426,213,1172,1799,79,146,637463,146057,254985,53997,11841,3600
1588,195,500,1044,73,134,600306,123079,240122,50300,10890,3353
2078,226,819,1449,67,147,688462,166812,275385,58662,12952,3911
898,45,227,563,16,31,203089,38678,81236,16905,3631,1127
393,20,238,316,9,14,110235,26066,44094,9368,2062,625
10187,1180,4326,7257,547,864,2666497,532142,1066599,222875,48109,14858
1604,183,582,1093,48,116,856536,148362,342614,70734,15046,4716
1424,139,613,1018,33,86,354891,90670,141956,30417,6761,2028
918,121,329,623,41,81,464979,77159,185992,38271,8107,2551
845,119,364,604,81,100,237503,104547,95001,22023,5317,1468
3062,243,950,2006,77,160,832908,165881,333163,69604,15021,4640
1388,197,366,877,62,129,642251,109410,256900,52969,11249,3531
1181,150,294,738,48,99,789639,122832,315856,64680,13620,4312
2242,193,603,1423,50,122,668985,118753,267594,55355,11804,3690
4005,515,1289,2647,165,340,1170264,218181,468106,97231,20837,6482
985,162,390,688,50,106,409683,59971,163873,33415,6998,2228
468,64,207,337,37,50,140148,28559,56059,11736,2539,782
656,90,383,519,62,76,198305,43677,79322,16731,3652,1115
2679,456,1122,1900,179,317,767671,155817,307068,64264,13898,4284
1304,112,594,949,49,80,352693,68579,141077,29411,6331,1961
756,26,293,525,7,17,189619,52436,75848,16404,3685,1094
2677,335,1184,1930,161,248,971119,232066,388448,82624,18212,5508
4185,486,1783,2984,159,323,1070712,213442,428285,89485,19314,5966
1634,104,818,1226,61,83,308796,61185,123518,25793,5563,1720
1066,143,297,681,37,90,215194,37920,86078,17796,3792,1186
1338,224,527,932,127,176,437181,98736,174872,36978,8095,2465
1047,99,480,764,54,77,361763,69031,144705,30117,6470,2008
1087,163,278,682,94,128,669683,124579,267873,55630,11919,3709
574,46,352,463,18,32,115052,25536,46021,9714,2122,648
720,60,261,490,24,42,264389,54218,105756,22154,4796,1477
5055,601,1595,3325,218,409,2179021,378878,871608,180003,38304,12000
668,36,340,504,19,28,167837,36303,67135,14135,3079,942
403,72,152,278,45,59,150679,36287,60272,12831,2831,855
2973,243,597,1785,137,190,896882,178478,358753,74945,16173,4996
516,24,298,407,8,16,154615,31786,61846,12959,2806,864
4590,442,2225,3407,202,322,951715,198669,380686,79880,17329,5325
651,102,263,457,24,63,198135,47118,79254,16849,3712,1123
1845,237,601,1223,62,149,637120,120121,254848,52986,11368,3532
1005,90,251,628,17,54,385088,91585,154035,32747,7214,2183
1051,84,357,704,22,53,350240,74330,140096,29443,6399,1963
2870,499,843,1857,40,269,899862,197294,359945,75887,16555,5059
1525,169,425,975,43,106,652386,122123,260954,54222,11625,3615
369,58,200,285,33,45,220972,40707,88389,18341,3926,1223
868,79,267,567,8,43,343334,73773,137334,28897,6289,1926
1555,158,543,1049,66,112,493628,124167,197451,42234,9369,2816
